"activity.number" "activity.name" "subject" "Time.BodyAcc_mean_X"
"51" 2 "WALKING_UPSTAIRS" 21 0.265194544680851
"52" 2 "WALKING_UPSTAIRS" 22 0.248391534566667
"53" 2 "WALKING_UPSTAIRS" 23 0.249995171031373
"54" 2 "WALKING_UPSTAIRS" 24 0.269881106779661
"55" 2 "WALKING_UPSTAIRS" 25 0.277995411384615
"56" 2 "WALKING_UPSTAIRS" 26 0.272691394545455
"57" 2 "WALKING_UPSTAIRS" 27 0.265770253921569
"58" 2 "WALKING_UPSTAIRS" 28 0.262005841764706
"59" 2 "WALKING_UPSTAIRS" 29 0.265423066877551
"60" 2 "WALKING_UPSTAIRS" 30 0.271415642261538
"61" 3 "WALKING_DOWNSTAIRS" 1 0.289188320408163
"62" 3 "WALKING_DOWNSTAIRS" 2 0.27761534806383
"63" 3 "WALKING_DOWNSTAIRS" 3 0.292423484693878
"64" 3 "WALKING_DOWNSTAIRS" 4 0.279965329555556
"65" 3 "WALKING_DOWNSTAIRS" 5 0.29354392712766
"66" 3 "WALKING_DOWNSTAIRS" 6 0.277045258145833
"67" 3 "WALKING_DOWNSTAIRS" 7 0.28030708
"68" 3 "WALKING_DOWNSTAIRS" 8 0.283484089210526
"69" 3 "WALKING_DOWNSTAIRS" 9 0.295923445
"70" 3 "WALKING_DOWNSTAIRS" 10 0.290401594315789
"71" 3 "WALKING_DOWNSTAIRS" 11 0.291605631956522
"72" 3 "WALKING_DOWNSTAIRS" 12 0.281521097391304
"73" 3 "WALKING_DOWNSTAIRS" 13 0.294907553404255
"74" 3 "WALKING_DOWNSTAIRS" 14 0.293422115555556
"75" 3 "WALKING_DOWNSTAIRS" 15 0.280198851190476
"76" 3 "WALKING_DOWNSTAIRS" 16 0.295586802191489
"77" 3 "WALKING_DOWNSTAIRS" 17 0.29391828326087
"78" 3 "WALKING_DOWNSTAIRS" 18 0.288439468909091
"79" 3 "WALKING_DOWNSTAIRS" 19 0.262688053871795
"80" 3 "WALKING_DOWNSTAIRS" 20 0.296144421355556
"81" 3 "WALKING_DOWNSTAIRS" 21 0.3014610196
"82" 3 "WALKING_DOWNSTAIRS" 22 0.284458963861111
"83" 3 "WALKING_DOWNSTAIRS" 23 0.289897411148148
"84" 3 "WALKING_DOWNSTAIRS" 24 0.288631208909091
"85" 3 "WALKING_DOWNSTAIRS" 25 0.291329666206897
"86" 3 "WALKING_DOWNSTAIRS" 26 0.2792845828
"87" 3 "WALKING_DOWNSTAIRS" 27 0.2975441875
"88" 3 "WALKING_DOWNSTAIRS" 28 0.293642076521739
"89" 3 "WALKING_DOWNSTAIRS" 29 0.293140441083333
"90" 3 "WALKING_DOWNSTAIRS" 30 0.283190646967742
"91" 4 "SITTING" 1 0.261237565425532
"92" 4 "SITTING" 2 0.27708735173913
"93" 4 "SITTING" 3 0.257197599134615
"94" 4 "SITTING" 4 0.27153827992
"95" 4 "SITTING" 5 0.273694139545455
"96" 4 "SITTING" 6 0.276778487454545
"97" 4 "SITTING" 7 0.284674637291667
"98" 4 "SITTING" 8 0.267491472934783
"99" 4 "SITTING" 9 0.24832674354
"100" 4 "SITTING" 10 0.270612056481481
"101" 4 "SITTING" 11 0.276590197358491
"102" 4 "SITTING" 12 0.275007224901961
"103" 4 "SITTING" 13 0.274328499591837
"104" 4 "SITTING" 14 0.279990577037037
"105" 4 "SITTING" 15 0.27290337979661
"106" 4 "SITTING" 16 0.280768574492754
"107" 4 "SITTING" 17 0.2773570196875
"108" 4 "SITTING" 18 0.27727001877193
"109" 4 "SITTING" 19 0.273830316164384
"110" 4 "SITTING" 20 0.278045439090909
"111" 4 "SITTING" 21 0.277539616823529
"112" 4 "SITTING" 22 0.273583822709677
"113" 4 "SITTING" 23 0.273351251617647
"114" 4 "SITTING" 24 0.273475690147059
"115" 4 "SITTING" 25 0.278541482461538
"116" 4 "SITTING" 26 0.258243530166667
"117" 4 "SITTING" 27 0.273941302571429
"118" 4 "SITTING" 28 0.276977629444444
"119" 4 "SITTING" 29 0.2771799775
"120" 4 "SITTING" 30 0.268336081379032
"121" 5 "STANDING" 1 0.278917629056604
"122" 5 "STANDING" 2 0.277911472222222
"123" 5 "STANDING" 3 0.280046513278689
"124" 5 "STANDING" 4 0.280499745892857
"125" 5 "STANDING" 5 0.282544390892857
"126" 5 "STANDING" 6 0.280346248596491
"127" 5 "STANDING" 7 0.282723539433962
"128" 5 "STANDING" 8 0.279620986111111
"129" 5 "STANDING" 9 0.282310057333333
"130" 5 "STANDING" 10 0.276650300681818
"131" 5 "STANDING" 11 0.277715562765957
"132" 5 "STANDING" 12 0.277405834918033
"133" 5 "STANDING" 13 0.277758431052632
"134" 5 "STANDING" 14 0.280545613833333
"135" 5 "STANDING" 15 0.278915803962264
"136" 5 "STANDING" 16 0.283497402948718
"137" 5 "STANDING" 17 0.277942503333333
"138" 5 "STANDING" 18 0.278458805890411
"139" 5 "STANDING" 19 0.27817226
"140" 5 "STANDING" 20 0.278076904657534
"141" 5 "STANDING" 21 0.27695224258427
"142" 5 "STANDING" 22 0.279053861587302
"143" 5 "STANDING" 23 0.277899323235294
"144" 5 "STANDING" 24 0.280348883913043
"145" 5 "STANDING" 25 0.278013701621622
"146" 5 "STANDING" 26 0.281127035405405
"147" 5 "STANDING" 27 0.279566921625
"148" 5 "STANDING" 28 0.277795069113924
"149" 5 "STANDING" 29 0.277965065846154
"150" 5 "STANDING" 30 0.277112699152542
"151" 6 "LAYING" 1 0.22159824394
"152" 6 "LAYING" 2 0.281373403958333
"153" 6 "LAYING" 3 0.275516852741935
"154" 6 "LAYING" 4 0.263559214981481
"155" 6 "LAYING" 5 0.278334325576923
"156" 6 "LAYING" 6 0.248656520140351
"157" 6 "LAYING" 7 0.250176694038462
"158" 6 "LAYING" 8 0.261254282907407
"159" 6 "LAYING" 9 0.2591955368
"160" 6 "LAYING" 10 0.280230574137931
"161" 6 "LAYING" 11 0.280592970877193
"162" 6 "LAYING" 12 0.260113433
"163" 6 "LAYING" 13 0.276716360483871
"164" 6 "LAYING" 14 0.233275439803922
"165" 6 "LAYING" 15 0.2894756525
"166" 6 "LAYING" 16 0.274227162571429
"167" 6 "LAYING" 17 0.269780085577465
"168" 6 "LAYING" 18 0.274691576923077
"169" 6 "LAYING" 19 0.272653733493976
"170" 6 "LAYING" 20 0.239507882205882
"171" 6 "LAYING" 21 0.271325472455556
"172" 6 "LAYING" 22 0.279959721194444
"173" 6 "LAYING" 23 0.274038007986111
"174" 6 "LAYING" 24 0.272850494930556
"175" 6 "LAYING" 25 0.250791828613699
"176" 6 "LAYING" 26 0.271645864540789
"177" 6 "LAYING" 27 0.274102492432432
"178" 6 "LAYING" 28 0.2759134825
"179" 6 "LAYING" 29 0.287295196811594
"180" 6 "LAYING" 30 0.281033900571429
